4;HF50202;72;正常;上行;PS3;2021/4/4  5:17:08 AM;-597;2021/4/4  5:17:08 AM;-597;;
4;HF50202;72;正常;上行;九联圩站2;2021/4/4  5:17:47 AM;-600;2021/4/4  5:17:47 AM;-600;;
4;HF50202;72;正常;上行;丙子铺站2;2021/4/4  5:18:51 AM;-619;2021/4/4  5:18:51 AM;-619;;
4;HF50202;72;正常;上行;万年埠站2;2021/4/4  5:20:02 AM;-639;2021/4/4  5:20:02 AM;-639;;
4;HF50202;72;正常;上行;万达城站2;2021/4/4  5:20:54 AM;-660;2021/4/4  5:20:54 AM;-660;;
26;ZG50302;64;正常;上行;PS4;2021/4/4  5:21:07 AM;-554;2021/4/4  5:21:07 AM;-554;;
4;HF50202;72;正常;上行;PS22;2021/4/4  5:21:11 AM;-668;2021/4/4  5:21:11 AM;-668;;
26;ZG50302;64;正常;上行;九联圩站2;2021/4/4  5:21:44 AM;-559;2021/4/4  5:21:44 AM;-559;;
4;HF50202;72;正常;上行;云谷路站2;2021/4/4  5:21:50 AM;-678;2021/4/4  5:21:50 AM;-678;;
26;ZG50302;64;正常;上行;丙子铺站2;2021/4/4  5:22:49 AM;-577;2021/4/4  5:22:49 AM;-577;;
4;HF50202;72;正常;上行;金斗公园站2;2021/4/4  5:22:58 AM;-703;2021/4/4  5:22:58 AM;-703;;
4;HF50202;72;正常;上行;塘西河公园站2;2021/4/4  5:23:55 AM;-725;2021/4/4  5:23:55 AM;-725;;
26;ZG50302;64;正常;上行;万年埠站2;2021/4/4  5:24:00 AM;-597;2021/4/4  5:24:00 AM;-597;;
26;ZG50302;64;正常;上行;万达城站2;2021/4/4  5:24:52 AM;-618;2021/4/4  5:24:52 AM;-618;;
4;HF50202;72;正常;上行;紫庐站2;2021/4/4  5:25:02 AM;-744;2021/4/4  5:25:02 AM;-744;;
26;ZG50302;64;正常;上行;PS22;2021/4/4  5:25:09 AM;-626;2021/4/4  5:25:09 AM;-626;;
4;HF50202;72;正常;上行;PS24;2021/4/4  5:25:21 AM;-748;2021/4/4  5:25:21 AM;-748;;
26;ZG50302;64;正常;上行;云谷路站2;2021/4/4  5:25:47 AM;-637;2021/4/4  5:25:47 AM;-637;;
11;HF50402;72;正常;上行;PS3;2021/4/4  5:26:03 AM;-453;2021/4/4  5:26:03 AM;-453;;
4;HF50202;72;正常;上行;滨湖会展中心站2;2021/4/4  5:26:28 AM;-776;2021/4/4  5:26:28 AM;-776;;
11;HF50402;72;正常;上行;九联圩站2;2021/4/4  5:26:41 AM;-457;2021/4/4  5:26:41 AM;-457;;
26;ZG50302;64;正常;上行;金斗公园站2;2021/4/4  5:26:57 AM;-660;2021/4/4  5:26:57 AM;-660;;
11;HF50402;72;正常;上行;丙子铺站2;2021/4/4  5:27:45 AM;-476;2021/4/4  5:27:45 AM;-476;;
26;ZG50302;64;正常;上行;塘西河公园站2;2021/4/4  5:27:54 AM;-682;2021/4/4  5:27:54 AM;-682;;
4;HF50202;72;正常;上行;高王站2;2021/4/4  5:28:45 AM;-801;2021/4/4  5:28:45 AM;-801;;
11;HF50402;72;正常;上行;万年埠站2;2021/4/4  5:28:56 AM;-496;2021/4/4  5:28:56 AM;-496;;
26;ZG50302;64;正常;上行;紫庐站2;2021/4/4  5:29:00 AM;-702;2021/4/4  5:29:00 AM;-702;;
4;HF50202;72;正常;上行;PS20;2021/4/4  5:29:17 AM;-819;2021/4/4  5:29:17 AM;-819;;
26;ZG50302;64;正常;上行;PS24;2021/4/4  5:29:20 AM;-705;2021/4/4  5:29:20 AM;-705;;
11;HF50402;72;正常;上行;万达城站2;2021/4/4  5:29:48 AM;-517;2021/4/4  5:29:48 AM;-517;;
11;HF50402;72;正常;上行;PS22;2021/4/4  5:30:04 AM;-526;2021/4/4  5:30:04 AM;-526;;
4;HF50202;72;正常;上行;骆岗站2;2021/4/4  5:30:26 AM;-791;2021/4/4  5:30:26 AM;-791;;
26;ZG50302;64;正常;上行;滨湖会展中心站2;2021/4/4  5:30:27 AM;-733;2021/4/4  5:30:27 AM;-733;;
11;HF50402;72;正常;上行;云谷路站2;2021/4/4  5:30:43 AM;-536;2021/4/4  5:30:43 AM;-536;;
4;HF50202;72;正常;上行;南站南广场2;2021/4/4  5:31:23 AM;-817;2021/4/4  5:31:23 AM;-817;;
2;HF50502;73;加速;上行;九联圩站2;2021/4/4  5:30:55 AM;-469;2021/4/4  5:31:43 AM;-421;48;48
11;HF50402;72;正常;上行;金斗公园站2;2021/4/4  5:31:52 AM;-560;2021/4/4  5:31:52 AM;-560;;
4;HF50202;72;正常;上行;合肥南站2;2021/4/4  5:32:19 AM;-836;2021/4/4  5:32:19 AM;-836;;
26;ZG50302;64;正常;上行;高王站2;2021/4/4  5:32:44 AM;-758;2021/4/4  5:32:44 AM;-758;;
2;HF50502;73;加速;上行;丙子铺站2;2021/4/4  5:32:47 AM;-440;2021/4/4  5:32:47 AM;-440;;
11;HF50402;72;正常;上行;塘西河公园站2;2021/4/4  5:32:48 AM;-583;2021/4/4  5:32:48 AM;-583;;
4;HF50202;72;正常;上行;望湖城站2;2021/4/4  5:33:07 AM;-860;2021/4/4  5:33:07 AM;-860;;
26;ZG50302;64;正常;上行;PS20;2021/4/4  5:33:15 AM;-777;2021/4/4  5:33:15 AM;-777;;
10;HF50602;72;正常;上行;PS3;2021/4/4  5:33:46 AM;-414;2021/4/4  5:33:46 AM;-414;;
11;HF50402;72;正常;上行;紫庐站2;2021/4/4  5:33:55 AM;-602;2021/4/4  5:33:55 AM;-602;;
2;HF50502;73;加速;上行;万年埠站2;2021/4/4  5:33:55 AM;-463;2021/4/4  5:33:55 AM;-463;;
11;HF50402;72;正常;上行;PS24;2021/4/4  5:34:14 AM;-606;2021/4/4  5:34:14 AM;-606;;
10;HF50602;72;正常;上行;九联圩站2;2021/4/4  5:34:23 AM;-419;2021/4/4  5:34:23 AM;-419;;
26;ZG50302;64;正常;上行;骆岗站2;2021/4/4  5:34:24 AM;-749;2021/4/4  5:34:24 AM;-749;;
2;HF50502;73;加速;上行;万达城站2;2021/4/4  5:34:46 AM;-485;2021/4/4  5:34:46 AM;-485;;
4;HF50202;72;正常;上行;葛大店站2;2021/4/4  5:34:49 AM;-885;2021/4/4  5:34:49 AM;-885;;
2;HF50502;73;加速;上行;PS22;2021/4/4  5:35:02 AM;-494;2021/4/4  5:35:02 AM;-494;;
11;HF50402;72;正常;上行;滨湖会展中心站2;2021/4/4  5:35:21 AM;-634;2021/4/4  5:35:21 AM;-634;;
26;ZG50302;64;正常;上行;南站南广场2;2021/4/4  5:35:21 AM;-775;2021/4/4  5:35:21 AM;-775;;
10;HF50602;72;正常;上行;丙子铺站2;2021/4/4  5:35:28 AM;-437;2021/4/4  5:35:28 AM;-437;;
2;HF50502;73;加速;上行;云谷路站2;2021/4/4  5:35:41 AM;-504;2021/4/4  5:35:41 AM;-504;;
4;HF50202;72;正常;上行;秋浦河路站2;2021/4/4  5:35:49 AM;-912;2021/4/4  5:35:49 AM;-912;;
4;HF50202;72;正常;上行;PS18;2021/4/4  5:36:06 AM;-931;2021/4/4  5:36:06 AM;-931;;
26;ZG50302;64;正常;上行;合肥南站2;2021/4/4  5:36:17 AM;-794;2021/4/4  5:36:17 AM;-794;;
5;HF50702;73;正常;上行;PS4;2021/4/4  5:36:30 AM;-479;2021/4/4  5:36:30 AM;-479;;
10;HF50602;72;正常;上行;万年埠站2;2021/4/4  5:36:38 AM;-458;2021/4/4  5:36:38 AM;-458;;
2;HF50502;73;加速;上行;金斗公园站2;2021/4/4  5:36:48 AM;-530;2021/4/4  5:36:48 AM;-530;;
4;HF50202;72;正常;上行;朱岗站2;2021/4/4  5:36:52 AM;-934;2021/4/4  5:36:52 AM;-934;;
26;ZG50302;64;正常;上行;望湖城站2;2021/4/4  5:37:05 AM;-818;2021/4/4  5:37:05 AM;-818;;
5;HF50702;73;正常;上行;九联圩站2;2021/4/4  5:37:07 AM;-484;2021/4/4  5:37:07 AM;-484;;
10;HF50602;72;正常;上行;万达城站2;2021/4/4  5:37:30 AM;-479;2021/4/4  5:37:30 AM;-479;;
11;HF50402;72;正常;上行;高王站2;2021/4/4  5:37:39 AM;-658;2021/4/4  5:37:39 AM;-658;;
